-25	0.00240
-24	0.00250
-23	0.00200
-22	0.00150
-21	0.00150
-20	0.00200
-19	0.00240
-18	0.00300
-17	0.00240
-16	0.00175
-15	0.00100
-14	0.00180
-13	0.00500
-12	0.01000
-11	0.01500
-10	0.01400
-9	0.00800
-8	0.02500
-7	0.02500
-6	0.16000
-5	0.50000
-4	1.00000
-3	2.00000
-2	2.60000
-1	3.80000
#0	5.10000
1	5.00000
2	4.00000
3	2.60000
4	1.80000
5	1.15000
6	0.16000
7	0.01800
8	0.00640
9	0.00880
10	0.01300
11	0.01700
12	0.01800
13	0.01500
14	0.00750
15	0.00380
16	0.00260
17	0.00260
18	0.00360
19	0.00440
20	0.00400
21	0.00280
22	0.00200
23	0.00180
24	0.00220
25	0.00250
