-25	0.0065
-24	0.0072
-23	0.0060
-22	0.0032
-21	0.0046
-20	0.0100
-19	0.0135
-18	0.0105
-17	0.0150
-16	0.0125
-15	0.0180
-14	0.0185
-13	0.0125
-12	0.0220
-11	0.0240
-10	0.0300
-9	0.0420
-8	0.0400
-7	0.0500
-6	0.1100
-5	0.0800
-4	0.2000
-3	0.4900
-2	0.5000
-1	8.0000
#0	17.500
1	4.6000
2	0.5000
3	0.2600
4	0.2600
5	0.0750
6	0.0900
7	0.0750
8	0.0400
9	0.0680
10	0.0340
11	0.0300
12	0.0280
13	0.0280
14	0.0200
15	0.0220
16	0.0090
17	0.0120
18	0.0160
19	0.0080
20	0.0074
21	0.0064
22	0.0064
23	0.0060
24	0.0070
25	0.0065
