-25	0.00175
-24	0.00170
-23	0.00125
-22	0.00120
-21	0.00220
-20	0.00200
-19	0.00260
-18	0.00420
-17	0.00460
-16	0.00320
-15	0.00300
-14	0.00600
-13	0.00100
-12	0.00750
-11	0.00100
-10	0.00800
-9	0.00500
-8	0.01000
-7	0.02600
-6	0.03600
-5	0.02000
-4	0.01200
-3	0.10000
-2	0.25000
-1	0.75000
#0	1.20000
1	1.10000
2	0.80000
3	0.50000
4	0.18000
5	0.03500
6	0.01000
7	0.03600
8	0.04200
9	0.02400
10	0.00900
11	0.01000
12	0.01500
13	0.01500
14	0.00800
15	0.00300
16	0.00320
17	0.00450
18	0.00380
19	0.00240
20	0.00200
21	0.00200
22	0.00160
23	0.00120
24	0.00140
25	0.00180
